Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,289.58,107,21.99,267.59
AL-003,Baldwin County,340.64,111,30.11,310.53
AL-005,Barbour County,278.54,106,16.21,262.33
AL-007,Bibb County,276.03,65,0.01,276.02
AL-009,Blount County,282.73,74,4.33,278.4
AL-011,Bullock County,278.13,102,17.18,260.95
AL-013,Butler County,298.28,106,19.71,278.57
AL-015,Calhoun County,274.31,82,6.93,267.38
AL-017,Chambers County,289.8,114,22.86,266.94
AL-019,Cherokee County,284.52,103,16.25,268.27
AL-021,Chilton County,284.25,94,13.46,270.79
AL-023,Choctaw County,283.85,58,-1.48,285.33
AL-025,Clarke County,305.61,98,15.76,289.85
AL-027,Clay County,299.62,105,19.9,279.72
AL-029,Cleburne County,283.74,92,13.64,270.1
AL-031,Coffee County,301.52,100,19.7,281.82
AL-033,Colbert County,299.98,109,32.02,267.96
AL-035,Conecuh County,307.8,99,17.44,290.36
AL-037,Coosa County,293.29,104,20.05,273.24
AL-039,Covington County,302.07,87,8.18,293.89
AL-041,Crenshaw County,299.98,110,22.86,277.12
AL-043,Cullman County,295.63,94,14.79,280.84
AL-045,Dale County,297.13,106,24.02,273.11
AL-047,Dallas County,271.75,83,7.69,264.06
AL-049,DeKalb County,300.82,107,22.97,277.85
AL-051,Elmore County,290.23,105,22.58,267.65
AL-053,Escambia County,316.05,92,13.31,302.74
AL-055,Etowah County,285.29,95,12.62,272.67
AL-057,Fayette County,313.05,113,30.68,282.37
AL-059,Franklin County,318.29,116,44.52,273.77
AL-061,Geneva County,307.41,100,20.39,287.02
AL-063,Greene County,278.55,89,13.31,265.24
AL-065,Hale County,265.99,57,-2.76,268.75
AL-067,Henry County,282.33,99,14.55,267.78
AL-069,Houston County,291.99,103,20.22,271.77
AL-071,Jackson County,306.33,108,32.5,273.83
AL-073,Jefferson County,276.92,55,-0.98,277.9
AL-075,Lamar County,302.49,102,27.14,275.35
AL-077,Lauderdale County,297.95,104,27.69,270.26
AL-079,Lawrence County,302.03,113,34.61,267.42
AL-081,Lee County,288.43,112,26.39,262.04
AL-083,Limestone County,306.18,116,37.23,268.95
AL-085,Lowndes County,281.91,108,19.88,262.03
AL-087,Macon County,279.64,106,20.64,259
AL-089,Madison County,312.68,117,40.67,272.01
AL-091,Marengo County,256.57,26,-14.64,271.21
AL-093,Marion County,321.34,118,42.94,278.4
AL-095,Marshall County,289.4,100,17.15,272.25
AL-097,Mobile County,344.14,111,30.48,313.66
AL-099,Monroe County,302.65,96,16.25,286.4
AL-101,Montgomery County,290.53,116,29.38,261.15
AL-103,Morgan County,294.24,104,24.03,270.21
AL-105,Perry County,262.01,50,-5.97,267.98
AL-107,Pickens County,290.22,102,22.59,267.63
AL-109,Pike County,300.48,114,27.96,272.52
AL-111,Randolph County,291.87,110,18.01,273.86
AL-113,Russell County,264.96,100,14.66,250.3
AL-115,St. Clair County,279.11,72,3.21,275.9
AL-117,Shelby County,284.52,89,10.11,274.41
AL-119,Sumter County,267.4,54,-3.93,271.33
AL-121,Talladega County,289.23,103,20.35,268.88
AL-123,Tallapoosa County,280.7,90,9.36,271.34
AL-125,Tuscaloosa County,281.09,76,3.74,277.35
AL-127,Walker County,284.68,71,1.12,283.56
AL-129,Washington County,330.06,112,30.86,299.2
AL-131,Wilcox County,275.35,75,4.01,271.34
AL-133,Winston County,313.56,116,30.82,282.74
AZ-001,Apache County,60.54,34,-6.41,66.95
AZ-003,Cochise County,74.18,82,1.43,72.75
AZ-005,Coconino County,68.41,77,1.02,67.39
AZ-007,Gila County,92.98,40,-10.24,103.22
AZ-009,Graham County,79.34,91,3.59,75.75
AZ-011,Greenlee County,82.31,53,-1.17,83.48
AZ-012,La Paz County,28.52,58,-1.07,29.59
AZ-013,Maricopa County,42.55,57,-3.39,45.94
AZ-015,Mohave County,56.32,90,3.79,52.53
AZ-017,Navajo County,57.03,47,-4.35,61.38
AZ-019,Pima County,60.28,67,-1.81,62.09
AZ-021,Pinal County,58.42,61,-3.88,62.3
AZ-023,Santa Cruz County,95.01,90,3.12,91.89
AZ-025,Yavapai County,78.64,63,-1.92,80.56
AZ-027,Yuma County,21.03,33,-3.15,24.18
AR-001,Arkansas County,258.45,78,3.14,255.31
AR-003,Ashley County,314.19,116,48.83,265.36
AR-005,Baxter County,275.05,122,57.46,217.59
AR-007,Benton County,273.66,122,47.21,226.45
AR-009,Boone County,263.57,121,44.97,218.6
AR-011,Bradley County,310.14,121,50.31,259.83
AR-013,Calhoun County,318.36,121,60.55,257.81
AR-015,Carroll County,264.93,122,41.52,223.41
AR-017,Chicot County,324.85,121,60.22,264.63
AR-019,Clark County,315.35,121,58.47,256.88
