Location ID,County,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,66,121,2.1,63.9
AL-003,Baldwin County,68.8,122,2,66.8
AL-005,Barbour County,66.7,122,1.9,64.8
AL-007,Bibb County,64.4,122,1.7,62.7
AL-009,Blount County,63.2,122,2.6,60.6
AL-011,Bullock County,66.3,122,2.2,64.1
AL-013,Butler County,66.5,121,2,64.5
AL-015,Calhoun County,63.7,122,2.7,61
AL-017,Chambers County,63.6,122,2.1,61.5
AL-019,Cherokee County,62.9,122,2.3,60.6
AL-021,Chilton County,64.3,122,1.6,62.7
AL-023,Choctaw County,66.4,121,1.9,64.5
AL-025,Clarke County,66.8,121,1.9,64.9
AL-027,Clay County,62.8,122,2.2,60.6
AL-029,Cleburne County,62.8,122,2.9,59.9
AL-031,Coffee County,67.3,122,1.9,65.4
AL-033,Colbert County,62,122,2.1,59.9
AL-035,Conecuh County,67.1,121,1.7,65.4
AL-037,Coosa County,64,121,1.8,62.2
AL-039,Covington County,67.3,122,1.7,65.6
AL-041,Crenshaw County,66.3,121,1.9,64.4
AL-043,Cullman County,62.5,121,2.2,60.3
AL-045,Dale County,67.6,122,1.9,65.7
AL-047,Dallas County,66.4,121,2.1,64.3
AL-049,DeKalb County,61.2,122,1.9,59.3
AL-051,Elmore County,65.9,122,2.2,63.7
AL-053,Escambia County,67.7,121,1.7,66
AL-055,Etowah County,63.3,122,2.5,60.8
AL-057,Fayette County,63.9,122,1.9,62
AL-059,Franklin County,61.8,122,1.9,59.9
AL-061,Geneva County,68.1,122,2,66.1
AL-063,Greene County,65.2,121,1.4,63.8
AL-065,Hale County,65.2,122,1.5,63.7
AL-067,Henry County,67.7,122,2,65.7
AL-069,Houston County,68.5,122,2.1,66.4
AL-071,Jackson County,61.3,122,1.9,59.4
AL-073,Jefferson County,64.1,122,2.4,61.7
AL-075,Lamar County,64,121,2,62
AL-077,Lauderdale County,61.6,121,2.2,59.4
AL-079,Lawrence County,61.7,122,1.6,60.1
AL-081,Lee County,64.9,122,1.9,63
AL-083,Limestone County,62.1,122,2.2,59.9
AL-085,Lowndes County,66.9,121,2.4,64.5
AL-087,Macon County,66.1,122,2.1,64
AL-089,Madison County,62.1,122,2.2,59.9
AL-091,Marengo County,65.9,121,1.6,64.3
AL-093,Marion County,62.4,121,1.7,60.7
AL-095,Marshall County,62.5,122,2.2,60.3
AL-097,Mobile County,68.6,122,2.2,66.4
