State,County,fips,Units,density
Alabama,Autauga County,"1,001",Persons per square mile,93.54
Alabama,Baldwin County,"1,003",Persons per square mile,137.14
Alabama,Barbour County,"1,005",Persons per square mile,28.11
Alabama,Bibb County,"1,007",Persons per square mile,35.99
Alabama,Blount County,"1,009",Persons per square mile,89.7
Alabama,Bullock County,"1,011",Persons per square mile,16.28
Alabama,Butler County,"1,013",Persons per square mile,25.33
Alabama,Calhoun County,"1,015",Persons per square mile,188.62
Alabama,Chambers County,"1,017",Persons per square mile,56.35
Alabama,Cherokee County,"1,019",Persons per square mile,47.03
Alabama,Chilton County,"1,021",Persons per square mile,63.73
Alabama,Choctaw County,"1,023",Persons per square mile,14.06
Alabama,Clarke County,"1,025",Persons per square mile,19.31
Alabama,Clay County,"1,027",Persons per square mile,21.98
Alabama,Cleburne County,"1,029",Persons per square mile,26.76
Alabama,Coffee County,"1,031",Persons per square mile,76.45
Alabama,Colbert County,"1,033",Persons per square mile,92.39
Alabama,Conecuh County,"1,035",Persons per square mile,14.44
Alabama,Coosa County,"1,037",Persons per square mile,16.46
Alabama,Covington County,"1,039",Persons per square mile,35.89
Alabama,Crenshaw County,"1,041",Persons per square mile,22.7
Alabama,Cullman County,"1,043",Persons per square mile,113.57
Alabama,Dale County,"1,045",Persons per square mile,87.25
Alabama,Dallas County,"1,047",Persons per square mile,39.14
Alabama,DeKalb County,"1,049",Persons per square mile,91.86
Alabama,Elmore County,"1,051",Persons per square mile,132.41
Alabama,Escambia County,"1,053",Persons per square mile,38.88
Alabama,Etowah County,"1,055",Persons per square mile,191.56
Alabama,Fayette County,"1,057",Persons per square mile,26.18
Alabama,Franklin County,"1,059",Persons per square mile,49.47
Alabama,Geneva County,"1,061",Persons per square mile,45.8
Alabama,Greene County,"1,063",Persons per square mile,12.72
Alabama,Hale County,"1,065",Persons per square mile,22.87
Alabama,Henry County,"1,067",Persons per square mile,30.63
Alabama,Houston County,"1,069",Persons per square mile,180.6
Alabama,Jackson County,"1,071",Persons per square mile,47.99
Alabama,Jefferson County,"1,073",Persons per square mile,593.21
Alabama,Lamar County,"1,075",Persons per square mile,22.89
Alabama,Lauderdale County,"1,077",Persons per square mile,138.3
Alabama,Lawrence County,"1,079",Persons per square mile,47.72
Alabama,Lee County,"1,081",Persons per square mile,269.84
Alabama,Limestone County,"1,083",Persons per square mile,171.75
Alabama,Lowndes County,"1,085",Persons per square mile,13.93
Alabama,Macon County,"1,087",Persons per square mile,30.29
Alabama,Madison County,"1,089",Persons per square mile,457.24
Alabama,Marengo County,"1,091",Persons per square mile,19.52
Alabama,Marion County,"1,093",Persons per square mile,40.09
Alabama,Marshall County,"1,095",Persons per square mile,169.85
Alabama,Mobile County,"1,097",Persons per square mile,336.55
Alabama,Monroe County,"1,099",Persons per square mile,20.54
Alabama,Montgomery County,"1,101",Persons per square mile,287.47
Alabama,Morgan County,"1,103",Persons per square mile,205.47
Alabama,Perry County,"1,105",Persons per square mile,12.7
Alabama,Pickens County,"1,107",Persons per square mile,22.62
Alabama,Pike County,"1,109",Persons per square mile,49.6
Alabama,Randolph County,"1,111",Persons per square mile,39.14
Alabama,Russell County,"1,113",Persons per square mile,90.12
Alabama,Shelby County,"1,117",Persons per square mile,274.65
Alabama,St. Clair County,"1,115",Persons per square mile,140.43
Alabama,Sumter County,"1,119",Persons per square mile,14.04
Alabama,Talladega County,"1,121",Persons per square mile,108.34
Alabama,Tallapoosa County,"1,123",Persons per square mile,56.52
Alabama,Tuscaloosa County,"1,125",Persons per square mile,158.16
Alabama,Walker County,"1,127",Persons per square mile,80.54
Alabama,Washington County,"1,129",Persons per square mile,15.16
Alabama,Wilcox County,"1,131",Persons per square mile,11.96
Alabama,Winston County,"1,133",Persons per square mile,38.6
Alaska,Aleutians East Borough,"2,013",Persons per square mile,0.5
Alaska,Aleutians West Census Area,"2,016",Persons per square mile,1.3
Alaska,Anchorage Borough,"2,020",Persons per square mile,170.81
Alaska,Bethel Census Area,"2,050",Persons per square mile,0.45
Alaska,Bristol Bay Borough,"2,060",Persons per square mile,1.82
Alaska,Denali Borough,"2,068",Persons per square mile,0.16
Alaska,Dillingham Census Area,"2,070",Persons per square mile,0.27
Alaska,Fairbanks North Star Borough,"2,090",Persons per square mile,13.5
Alaska,Haines Borough,"2,100",Persons per square mile,1.06
Alaska,Hoonah-Angoon Census Area,"2,105",Persons per square mile,0.33
Alaska,Juneau Borough,"2,110",Persons per square mile,11.88
Alaska,Kenai Peninsula Borough,"2,122",Persons per square mile,3.65
Alaska,Ketchikan Gateway Borough,"2,130",Persons per square mile,2.87
Alaska,Kodiak Island Borough,"2,150",Persons per square mile,2.02
Alaska,Kusilvak Census Area,"2,158",Persons per square mile,0.49
Alaska,Lake and Peninsula Borough,"2,164",Persons per square mile,0.07
Alaska,Matanuska-Susitna Borough,"2,170",Persons per square mile,4.35
Alaska,Nome Census Area,"2,180",Persons per square mile,0.44
Alaska,North Slope Borough,"2,185",Persons per square mile,0.11
Alaska,Northwest Arctic Borough,"2,188",Persons per square mile,0.22
Alaska,Petersburg Census Area,"2,195",Persons per square mile,1.11
Alaska,Prince of Wales-Hyder Census Area,"2,198",Persons per square mile,1.22
Alaska,Prince of Wales-Outer Ketchikan Census Area,"2,201",Persons per square mile,0
Alaska,Sitka Borough,"2,220",Persons per square mile,3.01
Alaska,Skagway Municipality,"2,230",Persons per square mile,2.65
Alaska,Skagway-Hoonah-Angoon Census Area,"2,232",Persons per square mile,0
Alaska,Skagway-Yakutat-Angoon Census Area,"2,231",Persons per square mile,0
Alaska,Southeast Fairbanks Census Area,"2,240",Persons per square mile,0.28
Alaska,Valdez-Cordova Census Area,"2,261",Persons per square mile,0.27
Alaska,Wade Hampton Census Area,"2,270",Persons per square mile,0
Alaska,Wrangell City and Borough,"2,275",Persons per square mile,0.98
Alaska,Wrangell-Petersburg Census Area,"2,280",Persons per square mile,0
Alaska,Yakutat City and Borough,"2,282",Persons per square mile,0.08
Alaska,Yukon-Koyukuk Census Area,"2,290",Persons per square mile,0.04
Arizona,Apache County,"4,001",Persons per square mile,6.41
Arizona,Cochise County,"4,003",Persons per square mile,20.41
Arizona,Coconino County,"4,005",Persons per square mile,7.67
Arizona,Gila County,"4,007",Persons per square mile,11.33
Arizona,Graham County,"4,009",Persons per square mile,8.24
Arizona,Greenlee County,"4,011",Persons per square mile,5.15
Arizona,La Paz County,"4,012",Persons per square mile,4.69
Arizona,Maricopa County,"4,013",Persons per square mile,479.4
Arizona,Mohave County,"4,015",Persons per square mile,15.72
Arizona,Navajo County,"4,017",Persons per square mile,11.1
Arizona,Pima County,"4,019",Persons per square mile,113.08
Arizona,Pinal County,"4,021",Persons per square mile,83.33
Arizona,Santa Cruz County,"4,023",Persons per square mile,37.62
Arizona,Yavapai County,"4,025",Persons per square mile,28.56
Arizona,Yuma County,"4,027",Persons per square mile,38.47
Arkansas,Arkansas County,"5,001",Persons per square mile,17.97
Arkansas,Ashley County,"5,003",Persons per square mile,21.66
Arkansas,Baxter County,"5,005",Persons per square mile,75.09
Arkansas,Benton County,"5,007",Persons per square mile,321.51
Arkansas,Boone County,"5,009",Persons per square mile,63.53
Arkansas,Bradley County,"5,011",Persons per square mile,16.78
Arkansas,Calhoun County,"5,013",Persons per square mile,8.4
Arkansas,Carroll County,"5,015",Persons per square mile,44.79
Arkansas,Chicot County,"5,017",Persons per square mile,16.19
Arkansas,Clark County,"5,019",Persons per square mile,25.47
Arkansas,Clay County,"5,021",Persons per square mile,23.22
Arkansas,Cleburne County,"5,023",Persons per square mile,45.09
Arkansas,Cleveland County,"5,025",Persons per square mile,13.41
Arkansas,Columbia County,"5,027",Persons per square mile,30.73
Arkansas,Conway County,"5,029",Persons per square mile,37.83
Arkansas,Craighead County,"5,031",Persons per square mile,153.48
Arkansas,Crawford County,"5,033",Persons per square mile,106.79
Arkansas,Crittenden County,"5,035",Persons per square mile,79.2
Arkansas,Cross County,"5,037",Persons per square mile,27.05
Arkansas,Dallas County,"5,039",Persons per square mile,10.76
Arkansas,Desha County,"5,041",Persons per square mile,14.99
Arkansas,Drew County,"5,043",Persons per square mile,22.13
Arkansas,Faulkner County,"5,045",Persons per square mile,192.61
Arkansas,Franklin County,"5,047",Persons per square mile,29.25
Arkansas,Fulton County,"5,049",Persons per square mile,19.85
Arkansas,Garland County,"5,051",Persons per square mile,146.33
Arkansas,Grant County,"5,053",Persons per square mile,28.79
Arkansas,Greene County,"5,055",Persons per square mile,78.46
Arkansas,Hempstead County,"5,057",Persons per square mile,29.88
Arkansas,Hot Spring County,"5,059",Persons per square mile,54.77
Arkansas,Howard County,"5,061",Persons per square mile,22.67
Arkansas,Independence County,"5,063",Persons per square mile,49.31
Arkansas,Izard County,"5,065",Persons per square mile,23.41
Arkansas,Jackson County,"5,067",Persons per square mile,26.52
Arkansas,Jefferson County,"5,069",Persons per square mile,78.29
Arkansas,Johnson County,"5,071",Persons per square mile,40.53
Arkansas,Lafayette County,"5,073",Persons per square mile,12.65
Arkansas,Lawrence County,"5,075",Persons per square mile,27.97
Arkansas,Lee County,"5,077",Persons per square mile,14.91
Arkansas,Lincoln County,"5,079",Persons per square mile,23.83
Arkansas,Little River County,"5,081",Persons per square mile,23.16
Arkansas,Logan County,"5,083",Persons per square mile,30.69
Arkansas,Lonoke County,"5,085",Persons per square mile,95.49
Arkansas,Madison County,"5,087",Persons per square mile,19.76
Arkansas,Marion County,"5,089",Persons per square mile,28.01
Arkansas,Miller County,"5,091",Persons per square mile,69.67
Arkansas,Mississippi County,"5,093",Persons per square mile,45.79
Arkansas,Monroe County,"5,095",Persons per square mile,11.36
Arkansas,Montgomery County,"5,097",Persons per square mile,11.44
Arkansas,Nevada County,"5,099",Persons per square mile,13.48
Arkansas,Newton County,"5,101",Persons per square mile,9.51
Arkansas,Ouachita County,"5,103",Persons per square mile,32.21
Arkansas,Perry County,"5,105",Persons per square mile,18.77
Arkansas,Phillips County,"5,107",Persons per square mile,25.92
Arkansas,Pike County,"5,109",Persons per square mile,17.77
Arkansas,Poinsett County,"5,111",Persons per square mile,31.61
Arkansas,Polk County,"5,113",Persons per square mile,23.38
Arkansas,Pope County,"5,115",Persons per square mile,78.77
Arkansas,Prairie County,"5,117",Persons per square mile,12.46
Arkansas,Pulaski County,"5,119",Persons per square mile,517.75
Arkansas,Randolph County,"5,121",Persons per square mile,27.52
Arkansas,Saline County,"5,125",Persons per square mile,167.81
Arkansas,Scott County,"5,127",Persons per square mile,11.56
Arkansas,Searcy County,"5,129",Persons per square mile,11.95
Arkansas,Sebastian County,"5,131",Persons per square mile,240.51
Arkansas,Sevier County,"5,133",Persons per square mile,30.32
Arkansas,Sharp County,"5,135",Persons per square mile,28.73
Arkansas,St. Francis County,"5,123",Persons per square mile,40.08
Arkansas,Stone County,"5,137",Persons per square mile,20.54
Arkansas,Union County,"5,139",Persons per square mile,37.65
Arkansas,Van Buren County,"5,141",Persons per square mile,23.39
Arkansas,Washington County,"5,143",Persons per square mile,251.56
Arkansas,White County,"5,145",Persons per square mile,76.06
Arkansas,Woodruff County,"5,147",Persons per square mile,11.06
Arkansas,Yell County,"5,149",Persons per square mile,23.15
California,Alameda County,"6,001",Persons per square mile,"2,260.59"
California,Alpine County,"6,003",Persons per square mile,1.49
California,Amador County,"6,005",Persons per square mile,66.24
California,Butte County,"6,007",Persons per square mile,141.31
California,Calaveras County,"6,009",Persons per square mile,44.71
California,Colusa County,"6,011",Persons per square mile,18.79
California,Contra Costa County,"6,013",Persons per square mile,"1,604.03"
California,Del Norte County,"6,015",Persons per square mile,27.66
California,El Dorado County,"6,017",Persons per square mile,111.65
California,Fresno County,"6,019",Persons per square mile,166.89
California,Glenn County,"6,021",Persons per square mile,21.35
California,Humboldt County,"6,023",Persons per square mile,38.22
California,Imperial County,"6,025",Persons per square mile,43.55
California,Inyo County,"6,027",Persons per square mile,1.76
California,Kern County,"6,029",Persons per square mile,110.27
California,Kings County,"6,031",Persons per square mile,108.87
California,Lake County,"6,033",Persons per square mile,51.24
California,Lassen County,"6,035",Persons per square mile,6.78
California,Los Angeles County,"6,037",Persons per square mile,"2,489.87"
California,Madera County,"6,039",Persons per square mile,73.78
California,Marin County,"6,041",Persons per square mile,498.93
California,Mariposa County,"6,043",Persons per square mile,12.06
California,Mendocino County,"6,045",Persons per square mile,24.98
