state,HDI,Comparable country[note 2]
Massachusetts,0.956,Norway
Connecticut,0.953,Norway
Minnesota,0.947,Switzerland
New Jersey,0.943,Ireland
New Hampshire,0.943,Ireland
District of Columbia,0.942,Ireland
Colorado,0.942,Ireland
New York,0.942,Ireland
North Dakota,0.942,Ireland
Hawaii,0.94,Germany
Washington,0.94,Germany
Alaska,0.937,Sweden
Vermont,0.936,Singapore
Maryland,0.935,Singapore
Nebraska,0.934,Singapore
Wyoming,0.932,Netherlands
Delaware,0.93,Denmark
California,0.93,Denmark
Utah,0.93,Denmark
Oregon,0.929,Denmark
Illinois,0.929,Denmark
Virginia,0.929,Denmark
South Dakota,0.929,Denmark
Wisconsin,0.928,Finland
Iowa,0.928,Finland
Pennsylvania,0.922,Canada
Kansas,0.922,Canada
United States,0.92,United Kingdom
Rhode Island,0.92,United Kingdom
Montana,0.917,Liechtenstein
Maine,0.914,Japan
Ohio,0.913,Japan
Michigan,0.912,Japan
Texas,0.909,Luxembourg
Florida,0.909,Luxembourg
Arizona,0.908,Luxembourg
Idaho,0.907,Luxembourg
Indiana,0.906,South Korea
Missouri,0.905,South Korea
North Carolina,0.905,South Korea
Nevada,0.902,South Korea
Georgia,0.902,South Korea
New Mexico,0.9,Slovenia
Oklahoma,0.894,Spain
Tennessee,0.892,France
South Carolina,0.89,France
Louisiana,0.885,Malta
Kentucky,0.881,Estonia
Arkansas,0.877,Estonia
Alabama,0.877,Estonia
West Virginia,0.872,Greece
Mississippi,0.863,United Arab Emirates
American Samoa,0.827,Argentina
Guam,0.901,France
Northern Mariana Islands,0.875,Estonia
Puerto Rico,0.845,Bahrain
Virgin Islands (U.S.),0.894,Spain
